PRODUTO;Coleção;Preço;Corredor;Prateleira;QTDE_CONTAGEM;U;33;34;35;36;37;38;39;40;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;DESC_COR_PRODUTO
40106;;;;;8;0;0;3;3;0;2;0;0;0;SCARPIN PAULA NAPA 3415721 BEBECE       ;CALCADOS                 ;SCARPIN                  ;BISCUIT                                 
40137;;;;;1;1;0;0;0;0;0;0;0;0;CARTEIRA NAPA CA2402 YEGGUS             ;ACESSORIOS               ;CARTEIRA                 ;CAMEL                                   
40137;;;;;1;1;0;0;0;0;0;0;0;0;CARTEIRA NAPA CA2402 YEGGUS             ;ACESSORIOS               ;CARTEIRA                 ;CINZA DESERTO                           
40139;;;;;1;0;0;0;0;0;0;0;1;0;SANDALIA MEDIA NAPA 4436211 DANDARA     ;CALCADOS                 ;SANDALIA MEDIA           ;PRETA                                   
40139;;;;;4;0;0;1;1;1;0;1;0;0;SANDALIA MEDIA NAPA 4436211 DANDARA     ;CALCADOS                 ;SANDALIA MEDIA           ;VERMELHO                                
40140;;;;;1;0;0;0;1;0;0;0;0;0;SANDALIA MEDIA METALIZADO 4436211 DANDAR;CALCADOS                 ;SANDALIA MEDIA           ;CHAMPAGNE                               
40141;;;;;1;0;0;0;0;0;0;1;0;0;SANDALIA ALTA NAPA 4446248 DANDARA PISAM;CALCADOS                 ;SANDALIA ALTA            ;PRETA                                   
40141;;;;;7;0;0;0;0;2;3;0;2;0;SANDALIA ALTA NAPA 4446248 DANDARA PISAM;CALCADOS                 ;SANDALIA ALTA            ;COTTON                                  
40142;;;;;6;0;0;0;1;0;2;3;0;0;SANDALIA ALTA METALIZADO 4446248 DANDARA;CALCADOS                 ;SANDALIA ALTA            ;CHAMPAGNE                               
40157;;;;;1;1;0;0;0;0;0;0;0;0;BOLSA COURO P COURO FLOATER M200 LORENA ;BOLSAS                   ;BOLSA COURO P            ;PRETA                                   
40165;;;;;1;0;0;0;0;0;0;1;0;0;TAMANCO TRISSE 124113715 KARYBY         ;CALCADOS                 ;TAMANCO                  ;MILK                                    
